API,Interface,Chrome_40.0.2214.93_OSX_10.11.6,Chrome_40.0.2214.93_Windows_10.0,Chrome_41.0.2272.76_OSX_10.11.6,Chrome_41.0.2272.89_Windows_10.0,Chrome_42.0.2311.135_OSX_10.11.6,Chrome_42.0.2311.135_Windows_10.0,Chrome_43.0.2357.65_OSX_10.11.6,Chrome_43.0.2357.81_Windows_10.0,Chrome_44.0.2403.89_OSX_10.11.6,Chrome_44.0.2403.89_Windows_10.0,Chrome_45.0.2454.85_OSX_10.11.6,Chrome_45.0.2454.85_Windows_10.0,Chrome_46.0.2490.71_OSX_10.11.6,Chrome_46.0.2490.71_Windows_10.0,Chrome_47.0.2526.73_OSX_10.11.6,Chrome_47.0.2526.73_Windows_10.0,Chrome_48.0.2564.97_OSX_10.11.6,Chrome_48.0.2564.97_Windows_10.0,Chrome_49.0.2623.75_OSX_10.11.6,Chrome_49.0.2623.75_Windows_10.0,Chrome_50.0.2661.75_OSX_10.11.6,Chrome_50.0.2661.75_Windows_10.0,Chrome_51.0.2704.79_OSX_10.11.6,Chrome_51.0.2704.79_Windows_10.0,Chrome_52.0.2743.82_OSX_10.11.6,Chrome_52.0.2743.82_Windows_10.0,Chrome_53.0.2785.101_Windows_10.0,Chrome_53.0.2785.113_Windows_10.0,Chrome_53.0.2785.143_OSX_10.11.6,Chrome_53.0.2785.89_OSX_10.11.6,Chrome_53.0.2785.89_Windows_10.0,Chrome_54.0.2840.59_OSX_10.11.6,Chrome_54.0.2840.59_Windows_10.0,Chrome_54.0.2840.85_Android_4.4.4,Chrome_55.0.2883.75_OSX_10.11.6,Chrome_55.0.2883.75_Windows_10.0,Edge_13.10586_Windows_10.0,Edge_14.14393_Windows_10.0,Firefox_45.0_OSX_10.11,Firefox_45.0_Windows_10.0,Firefox_46.0_OSX_10.11,Firefox_46.0_Windows_10.0,Firefox_47.0_OSX_10.11,Firefox_47.0_Windows_10.0,Firefox_48.0_OSX_10.11,Firefox_48.0_Windows_10.0,Firefox_49.0_OSX_10.11,Firefox_49.0_Windows_10.0,Firefox_50.0_OSX_10.11,Firefox_50.0_Windows_10.0,Firefox_51.0_OSX_10.11,Firefox_51.0_Windows_10.0,IE_11.0_Windows_10.0,IE_11.0_Windows_6.1,IE_11.0_Windows_6.3,Safari_601.1_iPhone_9.1,Safari_601.7.8_OSX_10.11.6,Safari_602.1.50_OSX_10.12
+toString+,DOMTokenList,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true
add,DOMTokenList,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true
contains,DOMTokenList,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true
item,DOMTokenList,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true
remove,DOMTokenList,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true
toggle,DOMTokenList,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true
entries,DOMTokenList,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,false,false,false,false
forEach,DOMTokenList,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,false,false,false,false
keys,DOMTokenList,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,false,false,false,false
values,DOMTokenList,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,false,false,false,false
length,DOMTokenList,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true
supports,DOMTokenList,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,false,false,false,false,false,false
value,DOMTokenList,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,true
$constructor$,DOMTokenList,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
$toString$,DOMTokenList,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
replace,DOMTokenList,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,false,false,false,false,false,false
+constructor+,DOMTransactionEvent,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false
transactions,DOMTransactionEvent,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false
+constructor+,DataChannel,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false
binaryType,DataChannel,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false
bufferedAmount,DataChannel,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false
bufferedAmountLowThreshold,DataChannel,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false
close,DataChannel,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false
id,DataChannel,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false
label,DataChannel,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false
onbufferedamountlow,DataChannel,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false
onclose,DataChannel,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false
onerror,DataChannel,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false
onmessage,DataChannel,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false
onopen,DataChannel,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false
ordered,DataChannel,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false
